source_id,source,tf_id,restaurant_url,restaurant_name,latitude,longitude,address,street,house_number,postal_code,city,rating,review_count,has_rating,has_review_count,low_review,avg_price_eur,discount_pct,has_discount,cuisines,dietary_options,has_hours,photo_count,has_reviews,sample_size,sample_avg_rating,rating_sample_divergent,flags
dongbeiciaga-r839740,thefork,839740,https://www.thefork.it/ristorante/dongbeiciaga-r839740,Dongbeiciaga 东北是家,45.4789551,9.1795742,"Via Bramante, 7, Milano, 20154, Italia",Via Bramante,7,20154,Milano,4.5,,1,0,0,19,50,1,"['Cinese', 'Asiatico']",['vegetarian'],0,26,0,0,,0,['missing_review_count']
donna-burgherita-r375423,thefork,375423,https://www.thefork.it/ristorante/donna-burgherita-r375423,Donna Burgherita,45.4531008,9.2029312,"Viale Monte Nero, 5, Milano, 20135, Italia",Viale Monte Nero,5,20135,Milano,8.9,2308,1,1,0,35,20,1,['Di Carne'],[],1,14,1,5,8.2,0,[]
draft-r819798,thefork,819798,https://www.thefork.it/ristorante/draft-r819798,Draft?,45.4579033,9.151352900000001,"Viale Misurata, 9, Milano, 20146, Italia",Viale Misurata,9,20146,Milano,8.0,,1,0,0,20,20,1,['Cucina locale'],[],1,11,0,0,,0,['missing_review_count']
dragon-kitchen-milano-r856710,thefork,856710,https://www.thefork.it/ristorante/dragon-kitchen-milano-r856710,Dragon Kitchen Milano,45.4617274,9.2122032,"Via Carlo Foldi, 8, Milano, 20135, Italia",Via Carlo Foldi,8,20135,Milano,9.3,67,1,1,0,25,,0,['Cinese'],[],0,45,1,5,9.9,0,[]
dumpling-mywei-rivoli-r804875,thefork,804875,https://www.thefork.it/ristorante/dumpling-mywei-rivoli-r804875,Dumpling Mywèi Rivoli,45.4721599,9.1830946,"Via Rivoli, 2, Milano, 20121, Italia",Via Rivoli,2,20121,Milano,8.5,156,1,1,0,12,20,1,['Cinese'],[],1,16,1,5,7.5,0,[]
duomi-r801931,thefork,801931,https://www.thefork.it/ristorante/duomi-r801931,Duomi,45.452828,9.172155799999999,"Via Vigevano, 33, Milano, 20144, Italia",Via Vigevano,33,20144,Milano,8.8,182,1,1,0,17,20,1,['Cinese'],[],1,30,1,5,6.7,1,['rating_sample_divergent']
duomo-dal-1952-r476487,thefork,476487,https://www.thefork.it/ristorante/duomo-dal-1952-r476487,Duomo dal 1952,45.4760566,9.1713581,"Piazza Sempione, 5, Milano, 20145, Italia",Piazza Sempione,5,20145,Milano,7.4,20,1,1,0,20,,0,['Mediterraneo'],[],0,23,1,5,7.0,0,[]
eden-bistrot-milano-r844091,thefork,844091,https://www.thefork.it/ristorante/eden-bistrot-milano-r844091,Eden Bistrot Milano,45.4613315,9.155237999999999,"Via Giorgio Washington, 51, Milano, 20144, Italia",Via Giorgio Washington,51,20144,Milano,7.8,19,1,1,0,31,30,1,"['Italiano', 'Mediterraneo', 'Europeo']",['vegetarian'],0,40,1,5,8.7,0,[]
el-beverin-r59587,thefork,59587,https://www.thefork.it/ristorante/el-beverin-r59587,El Beverin,45.47281,9.18736,"Via Brera 29, Milano, 20121, Italia",Via Brera 29,,20121,Milano,7.9,82,1,1,0,20,,0,['Pizzeria'],[],1,13,1,5,7.2,0,[]
el-brellin-r50388,thefork,50388,https://www.thefork.it/ristorante/el-brellin-r50388,El Brellin,45.45198,9.17532,"Vicolo dei Lavandai Alzaia Naviglio Grande, 14, Milano, 20144, Italia",Vicolo dei Lavandai Alzaia Naviglio Grande,14,20144,Milano,8.7,3325,1,1,0,50,20,1,"['Milanese', 'Lombardo']","['organic', 'vegetarian']",1,16,1,5,8.4,0,[]
el-gaucho-r826181,thefork,826181,https://www.thefork.it/ristorante/el-gaucho-r826181,El Gaucho,45.4469863,9.161325699999999,"Via Carlo D'Adda, 11, Milano, 20143, Italia",Via Carlo D'Adda,11,20143,Milano,9.1,451,1,1,0,58,20,1,['Argentino'],[],1,48,1,5,9.4,0,[]
el-porteno-arena-r837970,thefork,837970,https://www.thefork.it/ristorante/el-porteno-arena-r837970,El Porteno Arena,45.4774728,9.179197799999999,"Viale Elvezia, 4, Milano, 20154, Italia",Viale Elvezia,4,20154,Milano,9.9,5,1,1,1,70,50,1,"['Argentino', 'Di Carne', 'Sudamericano']",[],0,19,0,0,,0,['low_review']
el-porteno-prohibido-r581315,thefork,581315,https://www.thefork.it/ristorante/el-porteno-prohibido-r581315,El Porteño Prohibido,45.4666629,9.2093156,"Via Macedonio Melloni, 9, Milano, 20129, Italia",Via Macedonio Melloni,9,20129,Milano,9.4,165,1,1,0,90,,0,['Argentino'],[],1,18,1,5,9.3,0,[]
