source,record_id,issue_type,field,value,detail
Google Places,ChIJ1akUYQDBhkcR8wwxoM7TC7I,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1akUYQDBhkcR8wwxoM7TC7I,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1bTdinzIhkcRFirt2e8n4a4,low_review_count,review_count,15,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1c6JyMrHhkcRzNntlG35yII,low_review_count,review_count,18,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1cPDlYnHhkcR3PmsmA_8On8,low_review_count,review_count,3,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1fTAjbTHhkcRwTijj4RNkWk,low_review_count,review_count,19,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1flzRw3BhkcRdoVDhcaDa3w,low_review_count,review_count,7,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1wAXrC3BhkcRUSe-QIYgdYM,low_review_count,review_count,8,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1wu6YADHhkcR6H450xvv5LQ,low_review_count,review_count,9,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1xkpQADBhkcRfiNwBcQ8UHM,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1xkpQADBhkcRfiNwBcQ8UHM,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ1xwGCADHhkcR2D3a-JKhk2E,low_review_count,review_count,4,Review count is below 20; ratings are less reliable.
Google Places,ChIJ1yufmqnHhkcRWqPMvKDtRkE,low_review_count,review_count,1,Review count is below 20; ratings are less reliable.
Google Places,ChIJ2-X_-0zHhkcRTUDD-6cq9gw,low_review_count,review_count,4,Review count is below 20; ratings are less reliable.
Google Places,ChIJ20MFnBzBhkcRiO_SjaIEdDI,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ20MFnBzBhkcRiO_SjaIEdDI,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ20N5BTrBhkcRYflmWKReENw,low_review_count,review_count,7,Review count is below 20; ratings are less reliable.
Google Places,ChIJ24tjOljHhkcRLDsuJRV0LSQ,low_review_count,review_count,12,Review count is below 20; ratings are less reliable.
Google Places,ChIJ25fzzV_JhkcRdWEI4eHcMiA,low_review_count,review_count,3,Review count is below 20; ratings are less reliable.
Google Places,ChIJ26RCqXm_hkcRRlPECbUwBTs,low_review_count,review_count,1,Review count is below 20; ratings are less reliable.
Google Places,ChIJ26bzSQDBhkcRLr9-koiU0rk,low_review_count,review_count,3,Review count is below 20; ratings are less reliable.
Google Places,ChIJ28-jrBHBhkcR-OnEGy3KaVU,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ28-jrBHBhkcR-OnEGy3KaVU,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ280oQsLAhkcRvUKT3jvPwZc,low_review_count,review_count,6,Review count is below 20; ratings are less reliable.
Google Places,ChIJ2QxnzunGhkcR_CjtZGS96lQ,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2QxnzunGhkcR_CjtZGS96lQ,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2RP3CvjDhkcRscYQMGgBdaM,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2RP3CvjDhkcRscYQMGgBdaM,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2RcpQtbBhkcR7YeQyrDujIU,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2RcpQtbBhkcR7YeQyrDujIU,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2RhmTGXHhkcRaoOh5lYHL5k,low_review_count,review_count,19,Review count is below 20; ratings are less reliable.
Google Places,ChIJ2VH2KrvFhkcRGfGiLp0i6so,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2VH2KrvFhkcRGfGiLp0i6so,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2Vr8l9HHhkcRz0bL0EgRkng,low_review_count,review_count,18,Review count is below 20; ratings are less reliable.
Google Places,ChIJ2WJcHgLEhkcROnVvuZEffpw,low_review_count,review_count,15,Review count is below 20; ratings are less reliable.
Google Places,ChIJ2WgRQMbGhkcRuy9W7mVcki0,low_review_count,review_count,1,Review count is below 20; ratings are less reliable.
Google Places,ChIJ2aWcSADHhkcR3I9U28j1qNM,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ2aWcSADHhkcR3I9U28j1qNM,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
